key,en,tr,tl,hi
"price","Price","Fiyat","Presyo","मूल्य"
"print","Print","Yazdır","I-print","प्रिंट"
"privacy","Privacy","Gizlilik","Privacy","गोपनीयता"
"private","Private","Özel","Pribado","निजी"
"proceedToPayment","Proceed to Payment","Ödemeye Geç","Magpatuloy sa Bayad","भुगतान के लिए आगे बढ़ें"
"processing","Processing...","İşleniyor...","Pinoproseso...","प्रोसेसिंग..."
"products","Products","Ürünler","Mga Produkto","उत्पाद"
"profile","Profile","Profil","Profile","प्रोफ़ाइल"
"profileSettings","Profile Settings","Profil Ayarları","Mga Setting ng Profile","प्रोफ़ाइल सेटिंग्स"
"profileUpdated","Profile updated successfully!","Profil başarıyla güncellendi!","Matagumpay na na-update ang profile!","प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!"
"public","Public","Genel","Pampubliko","सार्वजनिक"
"published","Published","Yayınlandı","Na-publish","प्रकाशित"
"purchaseDate","Purchase Date","Satın Alma Tarihi","Petsa ng Pagbili","खरीद तिथि"
"purchased","Purchased","Satın Alındı","Nabili","खरीदा गया"
"purchases","Purchases","Satın Alımlar","Mga Pagbili","खरीदारी"
"quickActions","Quick Actions","Hızlı İşlemler","Mabilis na Aksyon","त्वरित कार्य"
"rating","Rating","Değerlendirme","Rating","रेटिंग"
"readMore","Read More","Devamını Oku","Magbasa Pa","और पढ़ें"
"readyStartLearning","Ready to start learning?","Öğrenmeye başlamaya hazır mısınız?","Handa ka na bang matuto?","सीखना शुरू करने के लिए तैयार?"
"realLearning","Real Learning. Real Change.","Gerçek Öğrenme. Gerçek Değişim.","Tunay na Pag-aaral. Tunay na Pagbabago.","वास्तविक शिक्षा। वास्तविक बदलाव।"
"realPeople","Real People. Real Transformations.","Gerçek İnsanlar. Gerçek Dönüşümler.","Tunay na Tao. Tunay na Pagbabago.","वास्तविक लोग। वास्तविक परिवर्तन।"
"recent","Recent","Son","Kamakailan","हाल का"
"recentPurchases","Recent Purchases","Son Satın Alımlar","Mga Kamakailang Pagbili","हाल की खरीदारी"
"recentSales","Recent Sales","Son Satışlar","Mga Kamakailang Benta","हाल की बिक्री"
"recentTransactions","Recent Transactions","Son İşlemler","Mga Kamakailang Transaksyon","हाल के लेनदेन"
"recommended","Recommended","Önerilen","Inirerekomenda","अनुशंसित"
"redo","Redo","Yinele","I-redo","फिर से करें"
"reference","Reference","Referans","Reperensya","संदर्भ"
"refresh","Refresh","Yenile","I-refresh","रिफ्रेश"
"refundPolicy","What's your refund policy?","İade politikanız nedir?","Ano ang inyong refund policy?","आपकी वापसी नीति क्या है?"
"refundPolicyAnswer","We offer a 30-day money-back guarantee on all courses.","Tüm kurslarda 30 günlük para iade garantisi sunuyoruz.","Nag-aalok kami ng 30-araw na money-back guarantee sa lahat ng kurso.","हम सभी पाठ्यक्रमों पर 30-दिन की मनी-बैक गारंटी प्रदान करते हैं।"
"rejected","Rejected","Reddedildi","Tinanggihan","अस्वीकृत"
"reload","Reload","Yeniden Yükle","I-reload","रीलोड"
"remove","Remove","Kaldır","Alisin","हटाएं"
"required","Required","Gerekli","Kinakailangan","आवश्यक"
"reset","Reset","Sıfırla","I-reset","रीसेट"
"restore","Restore","Geri Yükle","I-restore","पुनर्स्थापित करें"
"sales","sales","satış","benta","बिक्री"
"salesAnalytics","Sales Analytics","Satış Analitiği","Analytics ng Benta","बिक्री विश्लेषण"
"save","Save","Kaydet","I-save","सहेजें"
"saveMoney","Save Money","Para Biriktir","Mag-ipon ng Pera","पैसे बचाएं"
"saveProfile","Save Profile","Profili Kaydet","I-save ang Profile","प्रोफ़ाइल सहेजें"
"saved50Month","Saved $50/month after a 15-minute budgeting course.","15 dakikalık bütçe kursundan sonra ayda 50$ biriktirdim.","Naka-ipon ng $50/buwan pagkatapos ng 15-minutong kurso sa budgeting.","15-मिनट के बजट कोर्स के बाद $50/महीना बचाया।"
"saving","Saving...","Kaydediliyor...","Sine-save...","सहेजा जा रहा है..."
"search","Search","Ara","Maghanap","खोजें"
"searchPlaceholder","Search courses...","Kurs ara...","Maghanap ng mga kurso...","पाठ्यक्रम खोजें..."
"searchUsers","Search users...","Kullanıcı ara...","Maghanap ng mga user...","उपयोगकर्ता खोजें..."
"securePayment","Secure Payment","Güvenli Ödeme","Ligtas na Bayad","सुरक्षित भुगतान"
"securedByStripe","Secured by Stripe","Stripe ile Güvence Altında","Secured by Stripe","Stripe द्वारा सुरक्षित"
"seeHowPeople","See How People Are Changing Their Lives.","İnsanların Hayatlarını Nasıl Değiştirdiğini Görün.","Tingnan Kung Paano Binabago ng mga Tao ang Kanilang Buhay.","देखें कैसे लोग अपना जीवन बदल रहे हैं।"
"select","Select","Seç","Pumili","चुनें"
"sendMessage","Send us a Message","Bize Mesaj Gönderin","Magpadala sa Amin ng Mensahe","हमें संदेश भेजें"
"sendingMessage","Sending...","Gönderiliyor...","Ipinapadala...","भेजा जा रहा है..."
"settings","Settings","Ayarlar","Mga Setting","सेटिंग्स"
"share","Share","Paylaş","I-share","साझा करें"
"show","Show","Göster","Ipakita","दिखाएं"
"signup","Sign Up","Kayıt Ol","Mag-sign Up","साइन अप"
"sleepingBetter","Sleeping better after a 12-minute stress course.","12 dakikalık stres kursundan sonra daha iyi uyuyorum.","Mas mahimbing na ang tulog pagkatapos ng 12-minutong kurso sa stress.","12-मिनट के स्ट्रेस कोर्स के बाद बेहतर नींद आ रही है।"
"sorryPageNotFound","Sorry, the page you're looking for doesn't exist or has been moved.","Üzgünüz, aradığınız sayfa mevcut değil veya taşınmış.","Pasensya na, ang pahina na hinahanap mo ay hindi umiiral o nalipat na.","क्षमा करें, जो पृष्ठ आप खोज रहे हैं वह मौजूद नहीं है या स्थानांतरित कर दिया गया है।"
"sort","Sort","Sırala","I-sort","क्रमबद्ध करें"
"sslEncrypted","SSL encrypted payment processing","SSL şifreli ödeme işlemi","SSL encrypted na pagpoproseso ng bayad","SSL एन्क्रिप्टेड भुगतान प्रोसेसिंग"
"startChanging","Start Changing Your Life Today.","Hayatınızı Değiştirmeye Bugün Başlayın.","Simulan Baguhin ang Iyong Buhay Ngayon.","आज ही अपना जीवन बदलना शुरू करें।"
"startChat","Start Chat","Sohbeti Başlat","Simulan ang Chat","चैट शुरू करें"
"startNow","Start Now","Şimdi Başla","Magsimula Ngayon","अभी शुरू करें"
"startTransformation","Start Your Transformation","Dönüşümünüzü Başlatın","Simulan ang Iyong Pagbabago","अपना परिवर्तन शुरू करें"
"startYourTransformation","Start Your Transformation","Dönüşümünüzü Başlatın","Simulan ang Iyong Pagbabago","अपना परिवर्तन शुरू करें"
"students","Students","Öğrenci","Mga Estudyante","छात्र"
"subject","Subject","Konu","Paksa","विषय"
"submit","Submit","Gönder","I-submit","जमा करें"
"subtotal","Subtotal","Ara Toplam","Subtotal","उप-योग"
"success","Success","Başarılı","Tagumpay","सफल"
"sync","Sync","Senkronize Et","I-sync","सिंक"
"tags","Tags","Etiketler","Mga Tag","टैग"
"tax","Tax","Vergi","Buwis","कर"
"terms","Terms","Şartlar","Mga Tuntunin","शर्तें"
"testimonial1","I finally stopped overdrafting my account thanks to a 10-minute course.","Nihayet 10 dakikalık bir kurs sayesinde hesabımdan fazla para çekmeyi bıraktım.","Sa wakas tumigil na akong mag-overdraft ng account ko dahil sa isang 10-minutong kurso.","10-मिनट के कोर्स की बदौलत मैंने आखिरकार अपने खाते से ओवरड्राफ्ट करना बंद कर दिया।"
"testimonial2","I earned my first online income after watching one video.","Bir video izledikten sonra ilk online gelirimi elde ettim.","Kumita ako ng unang online income ko pagkatapos manood ng isang video.","एक वीडियो देखने के बाद मैंने अपनी पहली ऑनलाइन आय अर्जित की।"
"testimonial3","My mornings are peaceful now. That stress course changed my life.","Sabahlarım artık huzurlu. O stres kursu hayatımı değiştirdi.","Mapayapa na ang mga umaga ko ngayon. Binago ng stress course na iyon ang buhay ko.","मेरी सुबहें अब शांतिपूर्ण हैं। उस स्ट्रेस कोर्स ने मेरा जीवन बदल दिया।"
"thankYouEnrollment","Thank you for enrolling in this free course. You now have access to the materials.","Bu ücretsiz kursa kaydolduğunuz için teşekkür ederiz. Artık materyallere erişiminiz var.","Salamat sa pag-enroll sa libreng kursong ito. Mayroon ka na ngayong access sa mga materyales.","इस मुफ्त पाठ्यक्रम में नामांकन के लिए धन्यवाद। अब आपके पास सामग्री तक पहुंच है।"
"thankYouPurchase","Thank you for your purchase. Your payment has been processed successfully.","Satın alımınız için teşekkür ederiz. Ödemeniz başarıyla işlendi.","Salamat sa iyong pagbili. Matagumpay na naproseso ang iyong bayad.","आपकी खरीदारी के लिए धन्यवाद। आपका भुगतान सफलतापूर्वक प्रोसेस हो गया है।"
"thisMonth","This Month","Bu Ay","Ngayong Buwan","इस महीने"
"thisWeek","This Week","Bu Hafta","Ngayong Linggo","इस सप्ताह"
"thisYear","This Year","Bu Yıl","Ngayong Taon","इस वर्ष"
"today","Today","Bugün","Ngayon","आज"
"tomorrow","Tomorrow","Yarın","Bukas","कल"
"topPerforming","Top Performing Courses","En İyi Performans Gösteren Kurslar","Mga Pinakamagaling na Kurso","शीर्ष प्रदर्शन करने वाले पाठ्यक्रम"
"total","Total","Toplam","Kabuuan","कुल"
"totalCourses","Total Courses","Toplam Kurs","Kabuuang mga Kurso","कुल पाठ्यक्रम"
"totalDownloads","Total Downloads","Toplam İndirme","Kabuuang mga Download","कुल डाउनलोड"
"totalRevenue","Total Revenue","Toplam Gelir","Kabuuang Kita","कुल राजस्व"
"totalSales","Total Sales","Toplam Satış","Kabuuang Benta","कुल बिक्री"
"totalSpent","Total Spent","Toplam Harcama","Kabuuang Ginastos","कुल खर्च"
"totalUsers","Total Users","Toplam Kullanıcı","Kabuuang mga User","कुल उपयोगकर्ता"
"trackBusiness","Track your business performance and insights","İş performansınızı ve içgörülerinizi takip edin","Subaybayan ang performance ng iyong negosyo at mga insight","अपने व्यवसाय के प्रदर्शन और अंतर्दृष्टि को ट्रैक करें"
"transformParts","Transform These Parts of Your Life.","Hayatınızın Bu Bölümlerini Dönüştürün.","Baguhin ang mga Bahaging Ito ng Iyong Buhay.","अपने जीवन के इन हिस्सों को बदलें।"
"unavailable","Unavailable","Mevcut Değil","Hindi Available","अनुपलब्ध"
"undo","Undo","Geri Al","I-undo","पूर्ववत करें"
"unknown","Unknown","Bilinmeyen","Hindi kilala","अज्ञात"
"unlockOpportunities","Unlock New Opportunities","Yeni Fırsatları Keşfet","Buksan ang mga Bagong Oportunidad","नए अवसर खोलें"
"update","Update","Güncelle","I-update","अपडेट"
"updatePassword","Update Password","Şifreyi Güncelle","I-update ang Password","पासवर्ड अपडेट करें"
"updated","Updated","Güncellendi","Na-update","अपडेट किया गया"
"updating","Updating...","Güncelleniyor...","Ina-update...","अपडेट हो रहा है..."
"upload","Upload","Yükle","I-upload","अपलोड"
"user","User","Kullanıcı","User","उपयोगकर्ता"
"valid","Valid","Geçerli","Valid","मान्य"
"verifiedStudent","Verified Student","Doğrulanmış Öğrenci","Na-verify na Estudyante","सत्यापित छात्र"
"view","View","Görüntüle","Tingnan","देखें"
"viewAll","View All","Tümünü Görüntüle","Tingnan Lahat","सभी देखें"
"viewManage","View and manage user accounts","Kullanıcı hesaplarını görüntüleyin ve yönetin","Tingnan at pamahalaan ang mga account ng user","उपयोगकर्ता खाते देखें और प्रबंधित करें"
"visitHelpCenter","Visit Help Center","Yardım Merkezini Ziyaret Et","Bisitahin ang Help Center","सहायता केंद्र पर जाएं"
"watchMicroCourse","Watch a micro-course (under 30 mins)","Bir mikro-kurs izleyin (30 dakikadan kısa)","Manood ng micro-course (wala pang 30 minuto)","एक माइक्रो-कोर्स देखें (30 मिनट से कम)"
"watchMicroCourseDesc","Learn practical steps you can apply immediately to your life.","Hayatınıza hemen uygulayabileceğiniz pratik adımları öğrenin.","Matuto ng mga praktikal na hakbang na maaari mong i-apply agad sa iyong buhay.","व्यावहारिक कदम सीखें जिन्हें आप तुरंत अपने जीवन में लागू कर सकते हैं।"
"welcomeBack","Welcome back","Tekrar hoş geldiniz","Maligayang pagbabalik","वापसी पर स्वागत है"
"wellness","Wellness","Sağlık","Kalusugan","कल्याण"
"whatYouGet","What You'll Get","Neler Alacaksınız","Ano ang Makukuha Mo","आपको क्या मिलेगा"
"yes","Yes","Evet","Oo","हां"
"yesterday","Yesterday","Dün","Kahapon","कल"
